TimeStep,MountainSupply_Inflow,MountainSupply_Outflow,MountainSupply_SupplyRate,RiverSupply_Inflow,RiverSupply_Outflow,RiverSupply_SupplyRate,MountainReservoir_Inflow,MountainReservoir_Outflow,MountainReservoir_Storage,MountainReservoir_StorageChange,ValleyReservoir_Inflow,ValleyReservoir_Outflow,ValleyReservoir_Storage,ValleyReservoir_StorageChange,Farmland1_Inflow,Farmland1_Outflow,Farmland1_Demand,Farmland1_SatisfiedDemand,Farmland1_Deficit,Farmland2_Inflow,Farmland2_Outflow,Farmland2_Demand,Farmland2_SatisfiedDemand,Farmland2_Deficit,City1_Inflow,City1_Outflow,City1_Demand,City1_SatisfiedDemand,City1_Deficit,City2_Inflow,City2_Outflow,City2_Demand,City2_SatisfiedDemand,City2_Deficit,IndustrialPark_Inflow,IndustrialPark_Outflow,IndustrialPark_Demand,IndustrialPark_SatisfiedDemand,IndustrialPark_Deficit,RiverMouth_Inflow,RiverMouth_Outflow
0,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
1,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
2,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
3,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
4,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
5,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
6,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
7,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
8,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
9,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
