Height_m;Volume_m3;Area_m2
484.7919617;0;0
484.8919617;125423.2242;1567678.309
484.9919617;305713.591;1991489.617
485.0919617;519357.0529;2263906.6
485.1919617;759985.9134;2546425.229
485.2919617;1024837.759;2753361.141
485.3919617;1307524.493;2904605.348
485.4919617;1609502.323;3100834.695
485.5919617;1929908.072;3285591.05
485.6919617;2265804.247;3422303.087
485.7919617;2612978.502;3524129.603
485.8919617;2970233.064;3635136.832
485.9919617;3338205.272;3724034.111
486.0919617;3716020.774;3816374.822
486.1919617;4102591.253;3912158.929
486.2919617;4498093.142;4003888.629
486.3919617;4903152.787;4103574.638
486.4919617;5317471.855;4189184.132
486.5919617;5739929.762;4263777.286
486.6919617;6171593.4;4358721.887
486.7919617;6611903.307;4447240.158
486.8919617;7061783.547;4554808.797
486.9919617;7521918.235;4657174.35
487.0919617;7992189.303;4745463.791
487.1919617;8472929.233;4849514.853
487.2919617;8964033.099;4974452.754
487.3919617;9468157.568;5114004.924
487.4919617;9985884.034;5245217.518
487.5919617;1.05E+07;5399993.934
487.6919617;1.11E+07;5515598.947
487.7919617;1.16E+07;5614220.452
487.8919617;1.22E+07;5735412.724
487.9919617;1.28E+07;5844364.353
488.0919617;1.34E+07;6019421.119
488.1919617;1.40E+07;6137554.995
488.2919617;1.46E+07;6264641.384
488.3919617;1.52E+07;6436486.272
488.4919617;1.59E+07;6561124.732
488.5919617;1.65E+07;6693491.647
488.6919617;1.72E+07;6780180.121
488.7919617;1.79E+07;6873448.057
488.8919617;1.86E+07;6968860.273
488.9919617;1.93E+07;7032060.704
489.0919617;2.00E+07;7125943.069
489.1919617;2.07E+07;7230384.432
489.2919617;2.14E+07;7312483.379
489.3919617;2.22E+07;7437124.759
489.4919617;2.29E+07;7527641.6
489.5919617;2.37E+07;7618158.334
489.6919617;2.44E+07;7740198.935
489.7919617;2.52E+07;7819851.184
489.8919617;2.60E+07;7910905.202
489.9919617;2.68E+07;8020016.319
490.0919617;2.76E+07;8137545.84
490.1919617;2.84E+07;8238778.228
490.2919617;2.93E+07;8426170.741
490.3919617;3.01E+07;8560842.772
490.4919617;3.10E+07;8667738.514
490.5919617;3.18E+07;8760325.43
490.6919617;3.27E+07;8863316.51
490.7919617;3.36E+07;8964013.032
490.8919617;3.45E+07;9063255.262
490.9919617;3.54E+07;9169844.099
491.0919617;3.63E+07;9281100.648
491.1919617;3.73E+07;9385241.502
491.2919617;3.82E+07;9481807.09
491.3919617;3.92E+07;9576688.406
491.4919617;4.01E+07;9718934.238
491.5919617;4.11E+07;9806852.211
491.6919617;4.21E+07;9898367.356
491.7919617;4.31E+07;9995851.927
491.8919617;4.41E+07;1.01E+07
491.9919617;4.51E+07;1.02E+07
492.0919617;4.61E+07;1.03E+07
492.1919617;4.72E+07;1.04E+07
492.2919617;4.82E+07;1.05E+07
492.3919617;4.93E+07;1.06E+07
492.4919617;5.04E+07;1.08E+07
492.5919617;5.14E+07;1.09E+07
492.6919617;5.25E+07;1.10E+07
492.7919617;5.36E+07;1.11E+07
492.8919617;5.48E+07;1.12E+07
492.9919617;5.59E+07;1.13E+07
493.0919617;5.70E+07;1.15E+07
493.1919617;5.82E+07;1.16E+07
493.2919617;5.93E+07;1.17E+07
493.3919617;6.05E+07;1.18E+07
493.4919617;6.17E+07;1.19E+07
493.5919617;6.29E+07;1.20E+07
493.6919617;6.41E+07;1.21E+07
493.7919617;6.53E+07;1.22E+07
493.8919617;6.65E+07;1.24E+07
493.9919617;6.78E+07;1.24E+07
494.0919617;6.90E+07;1.26E+07
494.1919617;7.03E+07;1.27E+07
494.2919617;7.16E+07;1.28E+07
494.3919617;7.29E+07;1.29E+07
494.4919617;7.41E+07;1.30E+07
494.5919617;7.55E+07;1.32E+07
494.6919617;7.68E+07;1.33E+07
494.7919617;7.81E+07;1.34E+07
494.8919617;7.95E+07;1.36E+07
494.9919617;8.08E+07;1.37E+07
495.0919617;8.22E+07;1.38E+07
495.1919617;8.36E+07;1.39E+07
495.2919617;8.50E+07;1.40E+07
495.3919617;8.64E+07;1.41E+07
495.4919617;8.78E+07;1.42E+07
495.5919617;8.92E+07;1.43E+07
495.6919617;9.07E+07;1.44E+07
495.7919617;9.21E+07;1.45E+07
495.8919617;9.36E+07;1.45E+07
495.9919617;9.50E+07;1.46E+07
496.0919617;9.65E+07;1.47E+07
496.1919617;9.80E+07;1.48E+07
496.2919617;9.95E+07;1.49E+07
496.3919617;1.01E+08;1.50E+07
496.4919617;1.02E+08;1.52E+07
496.5919617;1.04E+08;1.53E+07
496.6919617;1.06E+08;1.56E+07
