name,utm_easting,utm_northing,longitude,latitude,csv_path
Bulungur,357863,4396505,67.33762386504277,39.7409869998883,monthly_ETblue_Bulungur_17to22.csv
Ishtixon,290211.7753810132,4433388.220635958,66.54155140263839,40.02464616232096,monthly_ETblue_Ishtixon_17to22.csv
Jomboy,338504.1037915441,4406576.838117095,67.11377745857344,39.79383316998103,monthly_ETblue_Jomboy_17to22.csv
Karmana,185582,4444561,65.24853258262699,40.047814408861335,monthly_ETblue_Karmana_17to22.csv
Kattaqorgon,267829.295971732,4435666.099187001,66.2787080115277,40.03928706691428,monthly_ETblue_Kattaqorgon_17to22.csv
Konimex,124823.47530621168,4546327.645114611,64.54086328498848,40.98185381190534,monthly_ETblue_Konimex_17to22.csv
Narpay,240740.37700600812,4424323.860978196,65.96611677173803,39.929351341717485,monthly_ETblue_Narpay_17to22.csv
Navbahor,184442,4458744,65.41091422913632,40.288374552221555,monthly_ETblue_Navbahor_17to22.csv
Navoi,188592.0690049617,4445242.4104845505,65.3469124707711,40.09988155137979,monthly_ETblue_Navoi_17to22.csv
Nurobod,276002,4378081,65.98769128370675,39.606615895032576,monthly_ETblue_Nurobod_17to22.csv
Oqdaryo,309004.0733673973,4412203.242281424,66.76781420527497,39.8383791414989,monthly_ETblue_Oqdaryo_17to22.csv
Pastdargom,297505.22980382526,4397388.379222995,66.63809566487268,39.7023459187795,monthly_ETblue_Pastdargom_17to22.csv
Paxtachi,215657,4435507,65.53913250897781,39.90491619399071,monthly_ETblue_Paxtachi_17to22.csv
Payariq,317853,4424998,66.87565824840233,40.07594818950887,monthly_ETblue_Payariq_17to22.csv
Qiziltepa,154441.61322257156,4419729.168780487,64.96074027223841,39.85726982281042,monthly_ETblue_Qiziltepa_17to22.csv
Qoshrabot,289318.48322733666,4472277.228834817,66.5183551465274,40.37446620391942,monthly_ETblue_Qoshrabot_17to22.csv
Samarqand,321178.7294531107,4383557.103355715,66.91778094422818,39.583091697483574,monthly_ETblue_Samarqand_17to22.csv
Toyloq,342425.1649798109,4382295.818182216,67.1653497875356,39.57590206822189,monthly_ETblue_Toyloq_17to22.csv
Urgut,347606,4370704,67.18127363546729,39.414348081878856,monthly_ETblue_Urgut_17to22.csv
Xatirchi,233892,4443042,65.92833019921498,40.196713268729596,monthly_ETblue_Xatirchi_17to22.csv
