Height_m;Volume_m3;Area_m2
498.3483276;0;0
498.4483276;2392771.286;2.39E+07
498.5483276;5047427.528;2.86E+07
498.6483276;7923643.453;2.98E+07
498.7483276;1.09E+07;2.98E+07
498.8483276;1.39E+07;3.03E+07
498.9483276;1.70E+07;3.08E+07
499.0483276;2.00E+07;3.08E+07
499.1483276;2.31E+07;3.12E+07
499.2483276;2.63E+07;3.15E+07
499.3483276;2.94E+07;3.15E+07
499.4483276;3.26E+07;3.17E+07
499.5483276;3.58E+07;3.20E+07
499.6483276;3.90E+07;3.23E+07
499.7483276;4.22E+07;3.23E+07
499.8483276;4.54E+07;3.26E+07
499.9483276;4.87E+07;3.31E+07
500.0483276;5.20E+07;3.35E+07
500.1483276;5.54E+07;3.35E+07
500.2483276;5.88E+07;3.39E+07
500.3483276;6.22E+07;3.42E+07
500.4483276;6.56E+07;3.45E+07
500.5483276;6.91E+07;3.47E+07
500.6483276;7.26E+07;3.49E+07
500.7483276;7.61E+07;3.54E+07
500.8483276;7.97E+07;3.56E+07
500.9483276;8.32E+07;3.59E+07
501.0483276;8.68E+07;3.62E+07
501.1483276;9.05E+07;3.64E+07
501.2483276;9.41E+07;3.67E+07
501.3483276;9.78E+07;3.70E+07
501.4483276;1.02E+08;3.73E+07
501.5483276;1.05E+08;3.76E+07
501.6483276;1.09E+08;3.80E+07
501.7483276;1.13E+08;3.83E+07
501.8483276;1.17E+08;3.86E+07
501.9483276;1.21E+08;3.90E+07
502.0483276;1.24E+08;3.93E+07
502.1483276;1.28E+08;3.98E+07
502.2483276;1.32E+08;4.03E+07
502.3483276;1.36E+08;4.07E+07
502.4483276;1.41E+08;4.13E+07
502.5483276;1.45E+08;4.17E+07
502.6483276;1.49E+08;4.20E+07
502.7483276;1.53E+08;4.23E+07
502.8483276;1.57E+08;4.27E+07
502.9483276;1.62E+08;4.32E+07
503.0483276;1.66E+08;4.36E+07
503.1483276;1.70E+08;4.42E+07
503.2483276;1.75E+08;4.47E+07
503.3483276;1.79E+08;4.53E+07
503.4483276;1.84E+08;4.57E+07
503.5483276;1.89E+08;4.62E+07
503.6483276;1.93E+08;4.65E+07
503.7483276;1.98E+08;4.68E+07
503.8483276;2.03E+08;4.72E+07
503.9483276;2.07E+08;4.76E+07
504.0483276;2.12E+08;4.77E+07
504.1483276;2.17E+08;4.81E+07
504.2483276;2.22E+08;4.86E+07
504.3483276;2.27E+08;4.91E+07
504.4483276;2.31E+08;4.97E+07
504.5483276;2.36E+08;5.00E+07
504.6483276;2.41E+08;5.06E+07
504.7483276;2.47E+08;5.11E+07
504.8483276;2.52E+08;5.16E+07
504.9483276;2.57E+08;5.23E+07
505.0483276;2.62E+08;5.28E+07
505.1483276;2.67E+08;5.32E+07
505.2483276;2.73E+08;5.36E+07
505.3483276;2.78E+08;5.41E+07
505.4483276;2.84E+08;5.45E+07
505.5483276;2.89E+08;5.47E+07
505.6483276;2.94E+08;5.51E+07
505.7483276;3.00E+08;5.53E+07
505.8483276;3.06E+08;5.56E+07
505.9483276;3.11E+08;5.59E+07
506.0483276;3.17E+08;5.63E+07
506.1483276;3.22E+08;5.66E+07
506.2483276;3.28E+08;5.71E+07
506.3483276;3.34E+08;5.75E+07
506.4483276;3.40E+08;5.80E+07
506.5483276;3.45E+08;5.88E+07
506.6483276;3.51E+08;5.92E+07
506.7483276;3.57E+08;5.97E+07
506.8483276;3.63E+08;6.02E+07
506.9483276;3.69E+08;6.07E+07
507.0483276;3.75E+08;6.11E+07
507.1483276;3.82E+08;6.15E+07
507.2483276;3.88E+08;6.19E+07
507.3483276;3.94E+08;6.23E+07
507.4483276;4.00E+08;6.27E+07
507.5483276;4.06E+08;6.33E+07
507.6483276;4.13E+08;6.39E+07
507.7483276;4.19E+08;6.46E+07
507.8483276;4.26E+08;6.51E+07
507.9483276;4.32E+08;6.57E+07
508.0483276;4.39E+08;6.61E+07
508.1483276;4.46E+08;6.65E+07
508.2483276;4.52E+08;6.68E+07
508.3483276;4.59E+08;6.72E+07
508.4483276;4.66E+08;6.76E+07
508.5483276;4.72E+08;6.81E+07
508.6483276;4.79E+08;6.86E+07
508.7483276;4.86E+08;6.93E+07
508.8483276;4.93E+08;6.97E+07
508.9483276;5.00E+08;7.02E+07
509.0483276;5.07E+08;7.08E+07
509.1483276;5.14E+08;7.12E+07
509.2483276;5.21E+08;7.19E+07
509.3483276;5.29E+08;7.23E+07
509.4483276;5.36E+08;7.28E+07
509.5483276;5.43E+08;7.33E+07
509.6483276;5.51E+08;7.37E+07
509.7483276;5.58E+08;7.41E+07
509.8483276;5.65E+08;7.45E+07
509.9483276;5.73E+08;7.49E+07
510.0483276;5.80E+08;7.52E+07
510.1483276;5.88E+08;7.56E+07
510.2483276;5.95E+08;7.59E+07
510.3483276;6.03E+08;7.62E+07
510.4483276;6.11E+08;7.65E+07
510.5483276;6.18E+08;7.68E+07
510.6483276;6.26E+08;7.72E+07
510.7483276;6.34E+08;7.78E+07
510.8483276;6.42E+08;7.82E+07
510.9483276;6.49E+08;7.90E+07
511.0483276;6.57E+08;8.16E+07
511.1483276;6.67E+08;1.15E+08
