Date,Q
1968-01-01,46.0
1968-02-01,57.8
1968-03-01,44.4
1968-04-01,32.9
1968-05-01,37.2
1968-06-01,91.2
1968-07-01,140.0
1968-08-01,119.0
1968-09-01,41.5
1968-10-01,24.8
1968-11-01,25.3
1968-12-01,34.3
1969-01-01,61.9
1969-02-01,73.4
1969-07-01,254.0
1969-08-01,159.0
1969-09-01,75.7
1969-10-01,50.0
1969-11-01,44.9
1969-12-01,44.7
1970-01-01,83.4
1970-02-01,145.0
1970-03-01,35.9
1970-04-01,40.3
1970-05-01,43.0
1970-06-01,122.0
1970-07-01,124.0
1970-08-01,116.0
1970-09-01,87.8
1970-10-01,35.0
1970-11-01,30.7
1970-12-01,32.6
1971-01-01,72.4
1971-02-01,49.2
1971-03-01,32.1
1971-04-01,27.2
1971-05-01,32.2
1971-06-01,78.8
1971-07-01,92.7
1971-08-01,63.2
1971-09-01,32.1
1971-10-01,27.6
1971-11-01,27.1
1971-12-01,25.9
1972-01-01,33.5
1972-02-01,31.2
1972-03-01,56.8
1972-04-01,38.5
1972-05-01,37.0
1972-06-01,65.2
1972-07-01,84.7
1972-08-01,50.8
1972-09-01,32.8
1972-10-01,26.2
1972-11-01,28.4
1972-12-01,27.1
1973-01-01,28.5
1973-02-01,57.8
1973-03-01,73.0
1973-04-01,66.3
1973-05-01,80.7
1973-06-01,120.0
1973-07-01,175.0
1973-08-01,128.0
1973-09-01,68.5
1973-10-01,54.5
1973-11-01,45.1
1973-12-01,51.8
1974-01-01,58.3
1974-02-01,64.3
1974-03-01,44.0
1974-04-01,43.5
1974-05-01,33.4
1974-06-01,52.5
1974-07-01,74.0
1974-08-01,35.7
1974-09-01,23.1
1974-10-01,25.2
1974-11-01,23.5
1974-12-01,21.2
1975-01-01,47.8
1975-02-01,32.8
1975-03-01,32.6
1975-04-01,27.8
1975-05-01,33.3
1975-06-01,40.9
1975-07-01,27.1
1975-08-01,24.2
1975-09-01,22.4
1975-10-01,21.9
1975-11-01,24.1
1975-12-01,23.2
1976-01-01,26.3
1976-02-01,34.6
1976-03-01,28.2
1976-04-01,28.3
1976-05-01,35.2
1976-06-01,34.4
1976-07-01,38.3
1976-08-01,24.6
1976-09-01,24.0
1976-10-01,26.4
1976-11-01,32.0
1976-12-01,29.7
1977-01-01,27.4
1977-02-01,33.8
1977-03-01,37.9
1977-04-01,26.8
1977-05-01,19.0
1977-06-01,24.7
1977-07-01,29.0
1977-08-01,20.3
1977-09-01,27.4
1977-10-01,30.3
1977-11-01,31.3
1977-12-01,32.8
1978-01-01,25.1
1978-02-01,26.9
1978-03-01,49.7
1978-04-01,31.1
1978-05-01,45.4
1978-06-01,38.0
1978-07-01,66.7
