Date,Q
2000-01-01,4.0
2000-02-01,3.1333333333333333
2000-03-01,1.8333333333333333
2000-04-01,4.933333333333334
2000-05-01,6.1000000000000005
2000-06-01,17.566666666666666
2000-07-01,28.900000000000002
2000-08-01,12.533333333333333
2000-09-01,4.0
2000-10-01,4.0
2000-11-01,1.8333333333333333
2000-12-01,0.75
2001-01-01,2.7
2001-02-01,2.1
2001-03-01,0.0
2001-04-01,3.266666666666667
2001-05-01,4.066666666666666
2001-06-01,11.700000000000001
2001-07-01,19.266666666666666
2001-08-01,8.366666666666667
2001-09-01,2.7000000000000006
2001-10-01,2.7000000000000006
2001-11-01,1.35
2001-12-01,0.0
2002-01-01,2.5999999999999996
2002-02-01,2.733333333333333
2002-03-01,1.8
2002-04-01,3.6666666666666665
2002-05-01,6.3999999999999995
2002-06-01,15.166666666666666
2002-07-01,22.166666666666668
2002-08-01,15.066666666666665
2002-09-01,7.233333333333333
2002-10-01,5.0
2002-11-01,2.533333333333333
2002-12-01,1.25
2003-01-01,1.8
2003-02-01,1.8666666666666665
2003-03-01,1.2333333333333334
2003-04-01,2.533333333333333
2003-05-01,4.433333333333334
2003-06-01,10.533333333333333
2003-07-01,15.366666666666667
2003-08-01,10.5
2003-09-01,5.0
2003-10-01,3.533333333333333
2003-11-01,1.7666666666666666
2003-12-01,0.85
2004-01-01,1.25
2004-02-01,2.0
2004-03-01,1.6666666666666667
2004-04-01,4.833333333333333
2004-05-01,5.166666666666667
2004-06-01,10.0
2004-07-01,14.666666666666666
2004-08-01,11.0
2004-09-01,5.0
2004-10-01,3.3333333333333335
2004-11-01,3.6666666666666665
2004-12-01,3.5
2005-01-01,2.85
2005-02-01,2.966666666666667
2005-03-01,2.0
2005-04-01,4.0
2005-05-01,7.0
2005-06-01,16.566666666666666
2005-07-01,24.166666666666668
2005-08-01,16.46666666666667
2005-09-01,7.866666666666667
2005-10-01,5.5
2005-11-01,2.766666666666667
2005-12-01,1.35
2006-01-01,1.5
2006-02-01,0.0
2006-03-01,2.4
2006-04-01,5.8
2006-05-01,6.2
2006-06-01,12.0
2006-07-01,17.599999999999998
2006-08-01,13.200000000000001
2006-09-01,6.0
2006-10-01,4.0
2006-11-01,4.3999999999999995
2006-12-01,4.2
2007-01-01,1.9500000000000002
2007-02-01,2.1666666666666665
2007-03-01,3.466666666666667
2007-04-01,1.3
2007-05-01,6.966666666666666
2007-06-01,15.166666666666666
2007-07-01,28.166666666666668
2007-08-01,23.400000000000002
2007-09-01,7.8
2007-10-01,3.9
2007-11-01,3.033333333333333
2007-12-01,0.0
2008-01-01,3.7
2008-02-01,2.966666666666667
2008-03-01,4.033333333333334
2008-04-01,3.1
2008-05-01,4.033333333333334
2008-06-01,16.433333333333334
2008-07-01,17.53333333333333
2008-08-01,13.299999999999999
2008-09-01,12.766666666666666
2008-10-01,7.5
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,3.2
2009-02-01,7.0
2009-03-01,1.1
2009-04-01,4.3
2009-05-01,8.1
2009-06-01,13.200000000000001
2009-07-01,18.233333333333334
2009-08-01,12.133333333333333
2009-09-01,3.9
2009-10-01,4.633333333333333
