Date,Navbahor,Xatirchi,Karmana,Paxtachi,Samarqand,Pastdargom,Toyloq,Urgut,Bulungur,Jomboy,Oqdaryo,Payariq,Ishtixon,Kattaqorgon,Narpay,Nurobod
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,0.007,0.036,0.0,0.022,0.03,0.0,0.218,0.291,0.04,0.037,0.025,0.0,0.025,0.03,0.036,0.009
2017-04-01,1.579,2.592,0.927,1.045,0.383,2.299,0.434,0.685,0.542,1.152,1.757,0.923,1.664,1.92,1.166,0.335
2017-05-01,4.241,6.167,2.196,2.66,1.341,7.13,1.513,2.25,1.876,2.963,4.535,3.429,5.038,4.858,2.913,0.983
2017-06-01,5.541,6.772,2.465,2.621,2.103,7.308,2.117,3.191,2.696,2.565,3.443,4.131,6.423,6.214,3.73,1.402
2017-07-01,6.714,9.074,3.986,5.637,2.78,11.56,2.05,3.43,3.108,2.381,4.424,6.395,9.269,9.508,8.598,1.877
2017-08-01,9.283,12.094,5.93,7.732,2.856,16.053,2.452,3.081,3.84,4.213,8.076,9.51,12.126,14.195,11.653,2.142
2017-09-01,5.891,7.278,3.51,4.41,2.051,11.283,1.981,2.092,2.957,3.901,5.859,6.552,7.265,8.884,6.829,1.208
2017-10-01,1.086,1.116,0.55,0.738,0.367,1.588,0.341,0.251,0.421,0.4,0.938,0.977,1.539,1.586,1.351,0.223
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.228,0.134,0.082,0.0,0.306,0.895,0.488,0.455,0.459,0.691,0.932,0.513,0.7,0.519,0.07,0.106
2018-04-01,3.77,5.154,2.082,1.813,0.586,3.404,0.845,1.214,0.723,1.103,1.944,0.903,1.572,2.099,1.869,0.389
2018-05-01,4.842,5.807,2.548,2.036,1.561,5.761,1.992,2.519,1.913,3.864,3.647,3.304,4.01,3.441,2.104,0.764
2018-06-01,2.447,4.419,1.365,1.216,2.12,4.738,2.616,3.21,2.714,3.665,3.287,3.358,5.506,3.795,1.343,0.832
2018-07-01,4.495,5.823,2.887,3.964,2.391,8.679,2.165,3.017,2.445,2.52,3.286,4.344,6.828,6.564,6.576,1.113
2018-08-01,7.188,9.031,4.918,6.075,2.554,14.542,2.769,3.213,2.728,4.637,6.458,7.33,9.424,10.361,9.724,1.265
2018-09-01,4.738,5.86,3.185,3.505,1.864,10.366,2.12,1.921,2.111,4.051,4.829,5.184,6.342,7.082,5.716,0.815
2018-10-01,2.374,2.471,1.61,1.395,0.79,3.151,0.96,0.785,0.836,1.305,1.633,1.342,1.871,2.476,1.809,0.217
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.785,0.601,0.333,0.257,0.014,0.325,0.129,0.088,0.262,0.0,0.095,0.0,0.533,0.569,0.27,0.173
2019-04-01,2.464,2.593,1.325,0.887,0.343,2.203,0.44,0.42,1.477,2.66,1.779,2.846,1.394,1.937,1.009,0.683
2019-05-01,4.921,4.933,2.601,2.076,1.581,6.168,1.666,2.234,2.413,4.111,3.347,3.265,3.246,4.074,2.056,1.452
2019-06-01,3.848,5.446,2.1,1.57,1.932,5.866,1.713,2.496,2.382,3.82,4.264,4.132,5.448,4.919,1.864,1.815
2019-07-01,5.657,8.451,3.432,5.095,2.438,9.742,1.995,3.129,2.835,3.2,4.469,4.695,8.766,8.763,7.762,2.499
2019-08-01,9.068,11.56,5.801,7.926,2.784,16.6,2.931,3.815,3.897,5.503,7.43,8.196,10.924,12.671,11.083,2.504
2019-09-01,6.321,7.701,3.928,4.665,1.727,9.982,2.077,1.99,2.421,3.993,5.06,5.284,6.589,7.936,6.558,1.482
2019-10-01,2.989,2.904,2.005,1.784,0.613,2.777,0.532,0.441,0.671,0.92,1.464,1.274,2.092,2.842,2.504,0.69
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.81,0.962,0.45,0.271,0.147,0.58,0.121,0.169,0.135,0.38,0.542,0.11,0.476,0.669,0.365,0.133
