Date,Q
2000-01-01,4.00
2000-02-01,3.13
2000-03-01,1.83
2000-04-01,4.93
2000-05-01,6.10
2000-06-01,17.57
2000-07-01,28.90
2000-08-01,12.53
2000-09-01,4.00
2000-10-01,4.00
2000-11-01,1.83
2000-12-01,0.75
2001-01-01,2.70
2001-02-01,2.10
2001-03-01,0.00
2001-04-01,3.27
2001-05-01,4.07
2001-06-01,11.70
2001-07-01,19.27
2001-08-01,8.37
2001-09-01,2.70
2001-10-01,2.70
2001-11-01,1.35
2001-12-01,0.00
2002-01-01,2.60
2002-02-01,2.73
2002-03-01,1.80
2002-04-01,3.67
2002-05-01,6.40
2002-06-01,15.17
2002-07-01,22.17
2002-08-01,15.07
2002-09-01,7.23
2002-10-01,5.00
2002-11-01,2.53
2002-12-01,1.25
2003-01-01,1.80
2003-02-01,1.87
2003-03-01,1.23
2003-04-01,2.53
2003-05-01,4.43
2003-06-01,10.53
2003-07-01,15.37
2003-08-01,10.50
2003-09-01,5.00
2003-10-01,3.53
2003-11-01,1.77
2003-12-01,0.85
2004-01-01,1.25
2004-02-01,2.00
2004-03-01,1.67
2004-04-01,4.83
2004-05-01,5.17
2004-06-01,10.00
2004-07-01,14.67
2004-08-01,11.00
2004-09-01,5.00
2004-10-01,3.33
2004-11-01,3.67
2004-12-01,3.50
2005-01-01,2.85
2005-02-01,2.97
2005-03-01,2.00
2005-04-01,4.00
2005-05-01,7.00
2005-06-01,16.57
2005-07-01,24.17
2005-08-01,16.47
2005-09-01,7.87
2005-10-01,5.50
2005-11-01,2.77
2005-12-01,1.35
2006-01-01,1.50
2006-02-01,0.00
2006-03-01,2.40
2006-04-01,5.80
2006-05-01,6.20
2006-06-01,12.00
2006-07-01,17.60
2006-08-01,13.20
2006-09-01,6.00
2006-10-01,4.00
2006-11-01,4.40
2006-12-01,4.20
2007-01-01,1.95
2007-02-01,2.17
2007-03-01,3.47
2007-04-01,1.30
2007-05-01,6.97
2007-06-01,15.17
2007-07-01,28.17
2007-08-01,23.40
2007-09-01,7.80
2007-10-01,3.90
2007-11-01,3.03
2007-12-01,0.00
2008-01-01,3.70
2008-02-01,2.97
2008-03-01,4.03
2008-04-01,3.10
2008-05-01,4.03
2008-06-01,16.43
2008-07-01,17.53
2008-08-01,13.30
2008-09-01,12.77
2008-10-01,7.50
2008-11-01,0.00
2008-12-01,0.00
2009-01-01,3.20
2009-02-01,7.00
2009-03-01,1.10
2009-04-01,4.30
2009-05-01,8.10
2009-06-01,13.20
2009-07-01,18.23
2009-08-01,12.13
2009-09-01,3.90
2009-10-01,4.63
2009-11-01,3.73
2009-12-01,1.60
2010-01-01,1.70
2010-02-01,2.60
2010-03-01,0.00
2010-04-01,4.13
2010-05-01,5.07
2010-06-01,14.63
2010-07-01,24.07
2010-08-01,10.47
2010-09-01,3.40
2010-10-01,3.40
2010-11-01,1.65
2010-12-01,0.00
2011-01-01,1.70
2011-02-01,1.80
2011-03-01,1.20
2011-04-01,2.43
2011-05-01,4.20
2011-06-01,10.03
2011-07-01,14.63
2011-08-01,10.00
2011-09-01,4.77
2011-10-01,3.33
2011-11-01,1.67
2011-12-01,0.80
2012-01-01,2.25
2012-02-01,2.37
2012-03-01,1.60
2012-04-01,3.17
2012-05-01,5.53
2012-06-01,13.17
2012-07-01,19.23
2012-08-01,13.10
2012-09-01,6.27
2012-10-01,4.37
2012-11-01,2.20
2012-12-01,1.05
2013-01-01,2.35
2013-02-01,2.50
2013-03-01,1.67
2013-04-01,3.33
2013-05-01,5.80
2013-06-01,13.80
2013-07-01,20.13
2013-08-01,13.73
2013-09-01,6.57
2013-10-01,4.60
2013-11-01,2.33
2013-12-01,1.10
2014-01-01,2.60
2014-02-01,2.67
2014-03-01,1.80
2014-04-01,3.60
2014-05-01,6.33
2014-06-01,15.07
2014-07-01,21.97
2014-08-01,14.93
2014-09-01,7.17
2014-10-01,5.00
2014-11-01,2.53
2014-12-01,1.20
2015-01-01,1.70
2015-02-01,1.80
2015-03-01,1.20
2015-04-01,2.43
2015-05-01,4.20
2015-06-01,10.03
2015-07-01,14.63
2015-08-01,10.00
2015-09-01,4.77
2015-10-01,3.33
2015-11-01,1.67
2015-12-01,0.80
2016-01-01,3.25
2016-02-01,3.40
2016-03-01,2.27
2016-04-01,4.53
2016-05-01,7.97
2016-06-01,18.83
2016-07-01,27.47
2016-08-01,18.70
2016-09-01,9.00
2016-10-01,6.27
2016-11-01,3.17
2016-12-01,1.50
2017-01-01,2.35
2017-02-01,2.50
2017-03-01,1.67
2017-04-01,3.33
2017-05-01,5.80
2017-06-01,13.80
2017-07-01,20.13
2017-08-01,13.73
2017-09-01,6.57
2017-10-01,4.60
2017-11-01,2.33
2017-12-01,1.10
2018-01-01,1.25
2018-02-01,0.00
2018-03-01,2.00
2018-04-01,4.83
2018-05-01,5.17
2018-06-01,10.00
2018-07-01,14.67
2018-08-01,11.00
2018-09-01,5.00
2018-10-01,3.33
2018-11-01,3.67
2018-12-01,3.50
2019-01-01,1.50
2019-02-01,1.67
2019-03-01,2.67
2019-04-01,1.00
2019-05-01,5.33
2019-06-01,11.67
2019-07-01,21.67
2019-08-01,18.00
2019-09-01,6.00
2019-10-01,3.00
2019-11-01,2.33
2019-12-01,0.00
2020-01-01,3.50
2020-02-01,2.83
2020-03-01,3.83
2020-04-01,2.93
2020-05-01,3.83
2020-06-01,15.67
2020-07-01,16.67
2020-08-01,12.67
2020-09-01,12.17
2020-10-01,7.17
2020-11-01,0.00
2020-12-01,0.00
2021-01-01,2.33
2021-02-01,6.55
2021-03-01,1.00
2021-04-01,4.00
2021-05-01,7.57
2021-06-01,12.33
2021-07-01,17.00
2021-08-01,11.33
2021-09-01,3.67
2021-10-01,4.33
2021-11-01,3.50
2021-12-01,1.50
2022-01-01,3.00
2022-02-01,2.33
2022-03-01,0.00
2022-04-01,3.67
2022-05-01,4.53
2022-06-01,13.07
2022-07-01,21.50
2022-08-01,9.33
2022-09-01,3.00
2022-10-01,3.00
2022-11-01,1.50
2022-12-01,0.00
