Date,Q
2000-01-01,6.60
2000-02-01,0.00
2000-03-01,4.50
2000-04-01,6.87
2000-05-01,15.53
2000-06-01,18.83
2000-07-01,19.57
2000-08-01,16.80
2000-09-01,3.60
2000-10-01,1.23
2000-11-01,4.00
2000-12-01,2.50
2001-01-01,0.00
2001-02-01,0.00
2001-03-01,4.47
2001-04-01,4.43
2001-05-01,11.57
2001-06-01,21.60
2001-07-01,21.50
2001-08-01,13.00
2001-09-01,9.40
2001-10-01,4.47
2001-11-01,2.03
2001-12-01,0.60
2002-01-01,1.50
2002-02-01,0.00
2002-03-01,3.17
2002-04-01,4.13
2002-05-01,9.80
2002-06-01,25.33
2002-07-01,34.60
2002-08-01,35.13
2002-09-01,9.20
2002-10-01,9.93
2002-11-01,7.20
2002-12-01,0.00
2003-01-01,0.00
2003-02-01,0.00
2003-03-01,5.20
2003-04-01,13.33
2003-05-01,12.77
2003-06-01,22.30
2003-07-01,34.13
2003-08-01,32.87
2003-09-01,14.10
2003-10-01,3.97
2003-11-01,5.10
2003-12-01,1.80
2004-01-01,0.00
2004-02-01,6.60
2004-03-01,5.73
2004-04-01,7.47
2004-05-01,18.30
2004-06-01,32.43
2004-07-01,39.10
2004-08-01,33.23
2004-09-01,10.77
2004-10-01,6.33
2004-11-01,9.83
2004-12-01,2.20
2005-01-01,0.00
2005-02-01,0.00
2005-03-01,7.20
2005-04-01,9.43
2005-05-01,19.23
2005-06-01,26.23
2005-07-01,36.17
2005-08-01,30.07
2005-09-01,12.50
2005-10-01,3.70
2005-11-01,4.07
2005-12-01,5.93
2006-01-01,0.00
2006-02-01,2.65
2006-03-01,4.17
2006-04-01,7.97
2006-05-01,16.03
2006-06-01,22.37
2006-07-01,29.97
2006-08-01,25.17
2006-09-01,2.93
2006-10-01,6.83
2006-11-01,6.10
2006-12-01,5.00
2007-01-01,0.00
2007-02-01,0.00
2007-03-01,7.17
2007-04-01,7.07
2007-05-01,20.63
2007-06-01,26.97
2007-07-01,30.33
2007-08-01,22.63
2007-09-01,17.80
2007-10-01,0.00
2007-11-01,0.00
2007-12-01,0.00
2008-01-01,0.00
2008-02-01,0.00
2008-03-01,8.60
2008-04-01,10.13
2008-05-01,13.20
2008-06-01,22.60
2008-07-01,27.43
2008-08-01,12.93
2008-09-01,0.20
2008-10-01,2.10
2008-11-01,4.60
2008-12-01,6.80
2009-01-01,0.00
2009-02-01,0.00
2009-03-01,2.75
2009-04-01,4.00
2009-05-01,8.13
2009-06-01,23.63
2009-07-01,28.20
2009-08-01,35.10
2009-09-01,12.97
2009-10-01,6.27
2009-11-01,7.00
2009-12-01,4.20
