h;v
484.7919617;0
484.8919617;125423.2242
484.9919617;305713.591
485.0919617;519357.0529
485.1919617;759985.9134
485.2919617;1024837.759
485.3919617;1307524.493
485.4919617;1609502.323
485.5919617;1929908.072
485.6919617;2265804.247
485.7919617;2612978.502
485.8919617;2970233.064
485.9919617;3338205.272
486.0919617;3716020.774
486.1919617;4102591.253
486.2919617;4498093.142
486.3919617;4903152.787
486.4919617;5317471.855
486.5919617;5739929.762
486.6919617;6171593.4
486.7919617;6611903.307
486.8919617;7061783.547
486.9919617;7521918.235
487.0919617;7992189.303
487.1919617;8472929.233
487.2919617;8964033.099
487.3919617;9468157.568
487.4919617;9985884.034
487.5919617;1.05E+07
487.6919617;1.11E+07
487.7919617;1.16E+07
487.8919617;1.22E+07
487.9919617;1.28E+07
488.0919617;1.34E+07
488.1919617;1.40E+07
488.2919617;1.46E+07
488.3919617;1.52E+07
488.4919617;1.59E+07
488.5919617;1.65E+07
488.6919617;1.72E+07
488.7919617;1.79E+07
488.8919617;1.86E+07
488.9919617;1.93E+07
489.0919617;2.00E+07
489.1919617;2.07E+07
489.2919617;2.14E+07
489.3919617;2.22E+07
489.4919617;2.29E+07
489.5919617;2.37E+07
489.6919617;2.44E+07
489.7919617;2.52E+07
489.8919617;2.60E+07
489.9919617;2.68E+07
490.0919617;2.76E+07
490.1919617;2.84E+07
490.2919617;2.93E+07
490.3919617;3.01E+07
490.4919617;3.10E+07
490.5919617;3.18E+07
490.6919617;3.27E+07
490.7919617;3.36E+07
490.8919617;3.45E+07
490.9919617;3.54E+07
491.0919617;3.63E+07
491.1919617;3.73E+07
491.2919617;3.82E+07
491.3919617;3.92E+07
491.4919617;4.01E+07
491.5919617;4.11E+07
491.6919617;4.21E+07
491.7919617;4.31E+07
491.8919617;4.41E+07
491.9919617;4.51E+07
492.0919617;4.61E+07
492.1919617;4.72E+07
492.2919617;4.82E+07
492.3919617;4.93E+07
492.4919617;5.04E+07
492.5919617;5.14E+07
492.6919617;5.25E+07
492.7919617;5.36E+07
492.8919617;5.48E+07
492.9919617;5.59E+07
493.0919617;5.70E+07
493.1919617;5.82E+07
493.2919617;5.93E+07
493.3919617;6.05E+07
493.4919617;6.17E+07
493.5919617;6.29E+07
493.6919617;6.41E+07
493.7919617;6.53E+07
493.8919617;6.65E+07
493.9919617;6.78E+07
494.0919617;6.90E+07
494.1919617;7.03E+07
494.2919617;7.16E+07
494.3919617;7.29E+07
494.4919617;7.41E+07
494.5919617;7.55E+07
494.6919617;7.68E+07
494.7919617;7.81E+07
494.8919617;7.95E+07
494.9919617;8.08E+07
495.0919617;8.22E+07
495.1919617;8.36E+07
495.2919617;8.50E+07
495.3919617;8.64E+07
495.4919617;8.78E+07
495.5919617;8.92E+07
495.6919617;9.07E+07
495.7919617;9.21E+07
495.8919617;9.36E+07
495.9919617;9.50E+07
496.0919617;9.65E+07
496.1919617;9.80E+07
496.2919617;9.95E+07
496.3919617;1.01E+08
496.4919617;1.02E+08
496.5919617;1.04E+08
496.6919617;1.06E+08
