TimeStep,Inflow_Inflow,Inflow_Outflow,Inflow_SupplyRate,Diversion1_Inflow,Diversion1_Outflow,Diversion2_Inflow,Diversion2_Outflow,Diversion3_Inflow,Diversion3_Outflow,Confluence_Inflow,Confluence_Outflow,Outflow_Inflow,Outflow_Outflow
0,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
1,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
2,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
3,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
4,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
5,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
6,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
7,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
8,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
9,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
10,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
11,0,100.0,100,100.0,0,0,0,0,0,0,0,0,0
